title,href,frequencies,email,categories
BBC Radio 4,https://www.radio-uk.co.uk/bbc-radio-4,London: 93.5 FM,feedback@bbc.co.uk,"Public, News"
Capital XTRA London,https://www.radio-uk.co.uk/capital-xtra-london,London: 107.1 FM,customer.support@global.com,"Hip Hop, Soul"
Nation Radio 60s,https://www.radio-uk.co.uk/nation-radio-60s,London: Online,,60s
Nation Radio 70s,https://www.radio-uk.co.uk/nation-radio-905-fm,London: Online,enquiries@nationradio.uk,70s
883 Centreforce radio,https://www.radio-uk.co.uk/883-centreforce-radio,London: DAB,info@centreforceradio.com,"90s, House, 80s"
80s Mixtape,https://www.radio-uk.co.uk/80s-mixtape,Manchester: Online,hello@mixtape.radio,"Pop Music, Adult Contemporary, 80s"
Smooth Chill,https://www.radio-uk.co.uk/chill,London: DAB,Customer.Support@Global.com,Chillout
Capital XTRA Reloaded,https://www.radio-uk.co.uk/capital-xtra-reloaded,City of London: Online,customer.support@global.com,Hip Hop
Dance UK Radio,https://www.radio-uk.co.uk/dance-uk-radio,London: Online,admin@danceradiouk.com,"Trance, Dance, House"
LBC News,https://www.radio-uk.co.uk/lbc-news,London: 1152 AM,Customer.Support@Global.com,News
House Nation UK,https://www.radio-uk.co.uk/house-nation-uk,London: Online,info@housenationuk.com,"Techno, Electronic, House"
Soul Central Radio,https://www.radio-uk.co.uk/soul-central-radio,City of London: Online,soulcentralradio101@gmail.com,"Disco, Jazz, Soul"
BBC Radio 5 live,https://www.radio-uk.co.uk/bbc-radio-5-live,London: 909 AM,feedback@bbc.co.uk,"Talk, News, Sports"
BBC Radio 1,https://www.radio-uk.co.uk/bbc-radio-1,London: 98.8 FM,radio1.enquiries@bbc.co.uk,"Top 40, Dance"
Mi-Soul Radio,https://www.radio-uk.co.uk/mi-soul-music-radio,London: Online,info@mi-soul.com,Variety
UK Roots FM,https://www.radio-uk.co.uk/uk-roots-fm,London: 95.4 FM,,"R&B, Reggae"
Heart 70s,https://www.radio-uk.co.uk/heart-70s,London: Online,Customer.Support@Global.com,70s
talkSPORT 2,https://www.radio-uk.co.uk/talksport-2,City of London: Online,feedback@talksport.co.uk,"Talk, Sports"
Nation Radio 90s,https://www.radio-uk.co.uk/nation-radio-90s,London: Online,enquiries@nationradio.uk,90s
Dance Revolution,https://www.radio-uk.co.uk/dance-revolution,"Bishop Auckland: DAB,Darlington: DAB,Gateshead: DAB,Hebburn: DAB,Jarrow: DAB,Newcastle upon Tyne: DAB,Newton Aycliffe: DAB,North Shields: DAB,South Shields: DAB,Sunderland: DAB,Tynemouth: DAB,Washington: DAB,Whitley Bay: DAB",hello@dancerevradio.com,"House, Trance, Dance"
BritCom 2 - Pumpkin FM,https://www.radio-uk.co.uk/british-comedy-radio-two,London: Online,,Comedy
Venture FM,https://www.radio-uk.co.uk/venture-fm,London: 99.5 FM,info@venturefm.co.uk,
BritCom 1 - Pumpkin FM,https://www.radio-uk.co.uk/british-comedy-radio,London: Online,,Comedy
Boom Radio,https://www.radio-uk.co.uk/boom-radio,City of London: DAB,,
BBC World Service,https://www.radio-uk.co.uk/bbc-world-service,"Jamestown: Online,London: DAB,NCR: Online",worldservice.letters@bbc.co.uk,"International, News"
BritCom 3 - Pumpkin FM,https://www.radio-uk.co.uk/pumpkin-fm-one,City of London: Online,,Comedy
24-7 Reggae,https://www.radio-uk.co.uk/24-7-reggae,London:,nicheradio247@gmail.com,Reggae
SOUL RADIO Only Classic Soul,https://www.radio-uk.co.uk/soul-radio-only-classic-soul,"Belfast: DAB,Birmingham: DAB,Bradford: DAB,Bristol: DAB,Cardiff: DAB,City of London: DAB,Edinburgh: DAB,Glasgow: DAB,Leeds: DAB,Leicester: DAB,Liverpool: DAB,London: DAB,Manchester: DAB,Newcastle upon Tyne: DAB,Nottingham: DAB,Sheffield: DAB,Southampton: DAB",my@soulradio.uk,"60s, 70s, Soul"
Reggae Ambassadors Radio,https://www.radio-uk.co.uk/emperor-e-radio,Bexley: Online,reggaeambassadors2016@gmail.com,Reggae
70s 80s All Time Greatest,https://www.radio-uk.co.uk/70s-80s-all-time-greatest,City of London: Online,,"80s, 90s"
Smooth Radio Country,https://www.radio-uk.co.uk/smooth-radio-country,London: Online,picturedesk@global.com,Country
Dance Classics,https://www.radio-uk.co.uk/dance-classics,Cardiff: Online,studio@danceclassics.co.uk,"90s, 80s, Dance"
Mellow Magic,https://www.radio-uk.co.uk/mellow-magic,Manchester: Online,hello@magic.co.uk,Romantic
Love 80s - Manchester,https://www.radio-uk.co.uk/love-80s-manchester,Manchester: DAB,,80s
Classic FM Calm,https://www.radio-uk.co.uk/classic-fm-calm,City of London:,,
Smooth Radio North West,https://www.radio-uk.co.uk/smooth-radio-north-west,Manchester: 100.4 FM,Customer.Support@Global.com,Easy Listening
Teenage Kicks Radio,https://www.radio-uk.co.uk/teenage-kicks-radio,London: Online,teenagekicksradio@mailsire.com,"70s, 80s, Pop Music"
Pop Hits,https://www.radio-uk.co.uk/pop-hits,London: Online,studio@pophitsradio.uk,"Pop Music, Top 40"
Classical Mood,https://www.radio-uk.co.uk/ae/classical-mood,"Abu Dhabi: Online,Dubai: Online",,Classical
Latina Bandida!,https://www.radio-uk.co.uk/ae/bandida,"Abu Dhabi: Online,Dubai: Online",,"Latino, Reggaeton"
Beam FM,https://www.radio-uk.co.uk/sg/beam-fm,"New York: Online,Seoul: Online",,Top 40
Rewind 2000's,https://www.radio-uk.co.uk/ae/rewind-2000s,"Abu Dhabi: Online,Dubai: Online",,"00s, Dance, Pop Music"
Beam FM - Adult Hits,https://www.radio-uk.co.uk/sg/beam-fm-adult-hits,New York: Online,,Adult Contemporary
Classic Rock Station,https://www.radio-uk.co.uk/ae/classic-rock-station,"Abu Dhabi: Online,Dubai: Online",,"70s, Classic Rock, Rock"
Top 90's,https://www.radio-uk.co.uk/ae/love-90s,"Abu Dhabi: Online,Dubai: Online,Sharjah: Online",,90s
Smooth Jazz - Groov,https://www.radio-uk.co.uk/ae/groov-smooth-jazz,"Abu Dhabi: Online,Dubai: Online",,"Jazz, Smooth Jazz"
Dance Machine,https://www.radio-uk.co.uk/ae/dance-machine,"Abu Dhabi: Online,Dubai: Online",,"EDM - Electronic Dance Music, Dance"
Wonder 80's,https://www.radio-uk.co.uk/ae/wonder-80s,"Abu Dhabi: Online,Dubai: Online",,"80s, Classic Hits"
Unique Radio,https://www.radio-uk.co.uk/uniqueradioorg,London: 101.2 FM,,"Reggae, R&B, Hip Hop"
Jazz FM,https://www.radio-uk.co.uk/jazz-fm,London: 91.0 FM,,Jazz
Radio Caroline,https://www.radio-uk.co.uk/radio-caroline,London: Online,,
Mix 80s,https://www.radio-uk.co.uk/the-mix-radio,City of London: Online,80s@themixradio.co.uk,80s
EKR - Sky News Radio,https://www.radio-uk.co.uk/ekr-sky-news-radio,Canterbury: Online,TheTeam@ekrdigital.com,News
Virgin Radio Anthems UK,https://www.radio-uk.co.uk/virgin-radio-anthems-uk,London: DAB,feedback@virginradio.co.uk,"90s, 80s"
KISS 104.1 FM,https://www.radio-uk.co.uk/kiss-1041-fm,Bingham: 104.1 FM,traci.taylor@townsquaremedia.com,Top 40
Smooth Relax,https://www.radio-uk.co.uk/smooth-relax,Internet/Community,,
Dancefmlive Trance,https://www.radio-uk.co.uk/dancefmlive-trance,Blackpool: Online,Postroom@dancefmlive.com,"Dance, Trance, Variety"
OLDSKOOL UK,https://www.radio-uk.co.uk/oldskooluk,London: Online,oiioii@oldskool.uk,"Dance, Electronic, House"
Smooth Radio Scotland,https://www.radio-uk.co.uk/smooth-radio-scotland,Glasgow: 105.2 FM,Customer.Support@Global.com,Easy Listening
Smooth 70s,https://www.radio-uk.co.uk/smooth-70s,Internet/Community,,
Retro Soul Radio,https://www.radio-uk.co.uk/retro-soul-radio,London: Online,studio@retrosoulradio.co.uk,"R&B, Soul"
UK Vibes.net,https://www.radio-uk.co.uk/uk-vibesnet,Birmingham: Online,ukvibes@hotmail.com​,Reggae
Radio X Manchester,https://www.radio-uk.co.uk/radio-x-manchester,Manchester: 97.7 FM,Customer.Support@Global.com,"Alternative Rock, Rock"
Tonic Ska Radio,https://www.radio-uk.co.uk/tonic-ska-radio,London: Online,info@tonicskaradio.co.uk,
Street Sounds Radio,https://www.radio-uk.co.uk/street-sounds-radio,London: Online,info@streetsoundsradio.com,"Soul, 80s, House"
Cheesy FM,https://www.radio-uk.co.uk/cheesy-fm,Manchester: Online,hello@cheesy-fm.com,"Dance, Adult Contemporary, Pop Music"
Golden Oldies,https://www.radio-uk.co.uk/golden-oldies,Liverpool: Online,goldenoldiesliverpool@gmail.com,"60s, Oldies, 70s"
BBC Radio 4 Extra,https://www.radio-uk.co.uk/bbc-radio-4-extra,London: DAB,feedback@bbc.co.uk,Comedy
Conscious Radio,https://www.radio-uk.co.uk/conscious-radio,London: Online,,Reggae
British Comedy 2 - ROKiT Radio Network,https://www.radio-uk.co.uk/rok-british-comedy-2-rok-classic-radio,London: Online,,Rock
House FM,https://www.radio-uk.co.uk/house-fm-dot-net,London: Online,info@hse.fm,House
FiRealReggaeMuzikRadio Station,https://www.radio-uk.co.uk/firealreggaemuzikradio,Macclesfield: Online,FiRealreggaemuzikradio@gmail.com,"R&B, Reggae, Caribbean"
Radio Caroline Flashback,https://www.radio-uk.co.uk/radio-caroline-flashback,London: Online,,"60s, 70s, Classic Hits"
BBC 6 Music,https://www.radio-uk.co.uk/bbc-6-music,London: DAB,feedback@bbc.co.uk,Alternative Rock
Rock Hits,https://www.radio-uk.co.uk/rock-hits,Internet/Community,studio@rockhits.uk,"Alternative Rock, Rock, Indie"
24-7 Motown,https://www.radio-uk.co.uk/24-7-motown,London: Online,nicheradio247@gmail.com,"70s, 60s, R&B"
British Comedy 1 - ROKiT Radio Network,https://www.radio-uk.co.uk/rok-british-comedy-1-rok-classic-radio,City of London: Online,,Rock
Solar Radio,https://www.radio-uk.co.uk/solar-radio,London: Online,,"Soul, Disco, Dance"
House Music Radio,https://www.radio-uk.co.uk/house-music-radio,City of London: Online,dj@housemusicradio.co.uk,"Techno, House, Trance"
Heart North West,https://www.radio-uk.co.uk/heart-north-west,Manchester: 105.4 FM,Customer.Support@Global.com,"Hot AC, Adult Contemporary"
Nation Radio,https://www.radio-uk.co.uk/radio-ceredigion,London: DAB,,"Community, Talk"
BBC 1Xtra,https://www.radio-uk.co.uk/bbc-1xtra,London: DAB,feedback@bbc.co.uk,"R&B, Hip Hop"
Heart Yorkshire,https://www.radio-uk.co.uk/heart-yorkshire,Leeds: 107.7 FM,Customer.Support@Global.com,Adult Contemporary
Chilled Hits,https://www.radio-uk.co.uk/fresh-extra,London: Online,music@radiokube.com,"Pop Music, Adult Contemporary"
Capital,https://www.radio-uk.co.uk/capital,"Belfast: Online,Londonderry: Online",,"Top 40, Pop Music"
BOX : Hits Country,https://www.radio-uk.co.uk/hits-country,London: Online,hello@boxradio.net,"Classic Country, Country, Blues"
24-7 Northern Soul,https://www.radio-uk.co.uk/24-7-northern-soul,London: Online,nicheradio247@gmail.com,Soul
Heart Xmas,https://www.radio-uk.co.uk/heart-xmas,London: Online,,Christmas
Chris Country Radio,https://www.radio-uk.co.uk/chris-country-radio,"Cambridge: DAB,London: DAB,Manchester: DAB,Portsmouth: DAB",,Country
80's Classics,https://www.radio-uk.co.uk/80s-classics,Pontypool: Online,studio@80sclassics.com,80s
Classic Rock,https://www.radio-uk.co.uk/classic-rock,Durham: Online,,"Alternative Rock, Classic Rock, Modern Rock"
24-7 Classic Rock,https://www.radio-uk.co.uk/24-7-classic-rock,London:,nicheradio247@gmail.com,Classic Rock
Loversrockradio,https://www.radio-uk.co.uk/loversrockradio,Cambridge: Online,loversrockradio@hotmail.co.uk,"70s, 80s, Reggae"
Dance Attack FM,https://www.radio-uk.co.uk/dance-attack-fm,Gloucester: Online,,"Electronic, Dance"
JFSR - Jazz Funk Soul Radio,https://www.radio-uk.co.uk/jfsr-jazz-funk-soul-radio,London: Online,,
BBC Radio 3,https://www.radio-uk.co.uk/bbc-radio-3,London: 91.3 FM,feedback@bbc.co.uk,Classical
24-7 The ‘60s,https://www.radio-uk.co.uk/24-7-the-60s,London: Online,nicheradio247@gmail.com,"60s, Pop Music"
Virgin Radio Chilled UK,https://www.radio-uk.co.uk/virgin-radio-chilled-uk,London: DAB,feedback@virginradio.co.uk,Chillout
Ibiza X Radio,https://www.radio-uk.co.uk/ibiza-x-radio2,London: Online,info@ibizaxradio.com,"Electronic, House, Dance"
Totally 80s Radio,https://www.radio-uk.co.uk/totally-80s-radio,London: Online,studio@totally80sradio.co.uk,"Oldies, Pop Music, 80s"
Reggae Island Vybz,https://www.radio-uk.co.uk/reggae-island-vybz,London: Online,selectorc@hotmail.co.uk,"Reggae, Reggaeton"
I Like It Oldskool,https://www.radio-uk.co.uk/i-like-it-oldskool,London: Online,info@ilikeitoldskool.co.uk,"Reggae, Dance, House"
Heart Radio Wales,https://www.radio-uk.co.uk/heart-radio-wales,Cardiff: 105.4 FM,Customer.Support@Global.com,Adult Contemporary
Liquid-DnB,https://www.radio-uk.co.uk/dnb-liquified,London: Online,contactliquiddnb@gmail.com,"Electronic, Chillout, Dance"
Soul Power Radio,https://www.radio-uk.co.uk/soul-power-radio,City of London: Online,,"Jazz, Disco, Soul"
Capital XTRA National,https://www.radio-uk.co.uk/capital-xtra,London: 96.9 FM,customer.support@global.com,"Dance, Hip Hop"
Best Smooth Jazz,https://www.radio-uk.co.uk/best-smooth-jazz,London: Online,,Smooth Jazz
London Soul Radio (LSR),https://www.radio-uk.co.uk/london-soul-radio-lsr,City of London: Online,,
Hot Hits UK,https://www.radio-uk.co.uk/hot-hits-uk,London: Online,thestudio@hothitsuk.com,"Top 40, EDM - Electronic Dance Music, Pop Music"
Greatest Hits Non-Stop,https://www.radio-uk.co.uk/greatest-hits-non-stop,Stonehaven: Online,studio@greatesthitsnonstop.com,"Oldies, Pop Music, Classic Hits"
Q Radio Belfast,https://www.radio-uk.co.uk/q-radio-belfast,"Belfast: 96.7 FM,Belfast: 102.5 FM",,"Adult Contemporary, Pop Music"
Raaj FM,https://www.radio-uk.co.uk/raaj-fm,Birmingham: 91.3 FM,info@raajfm.com,Community
Classic FM Movies,https://www.radio-uk.co.uk/classic-fm-movies,Internet/Community,,
Old Skool Rave Tapes,https://www.radio-uk.co.uk/old-skool-rave-tapes,London: Online,admin@oldskoolravetapes.co.uk,"Dance, 90s, Electronic"
Total Soul,https://www.radio-uk.co.uk/total-soul,London: Online,hello@totalsoul.co.uk,"Disco, Soul, 80s"
Premier Christian Radio 1332,https://www.radio-uk.co.uk/premier-christian-radio-1332,London: 1332 AM,,Christian Contemporary
Smooth Radio North East,https://www.radio-uk.co.uk/smooth-radio-north-east,"Durham: 97.5 FM,Middlesbrough: 107.7 FM",Customer.Support@Global.com,Easy Listening
Soul Groove Radio,https://www.radio-uk.co.uk/soul-groove-radio,City of London: Online,studio@soulgrooveradio.co.uk,Soul
Giant Radio,https://www.radio-uk.co.uk/the-giant,London: Online,thegiantradio@outlook.com,"90s, Adult Contemporary, 80s"
BOX : Reggae Republic,https://www.radio-uk.co.uk/reggae-republic,London: Online,hello@boxradio.net,Reggae
Dance Hits,https://www.radio-uk.co.uk/fresh-dance,London: Online,hello@thisisfresh.uk,"EDM - Electronic Dance Music, Dance"
Dancefmlive UK Hardcore,https://www.radio-uk.co.uk/dancefmlive-uk-hardcore,Blackpool: Online,postroom@dancefmlive.com,"Adult Contemporary, Variety, Techno"
Heart Scotland West,https://www.radio-uk.co.uk/heart-radio-scotland,Glasgow: 100.3 FM,Customer.Support@Global.com,Hot AC
Nation Radio Rocks,https://www.radio-uk.co.uk/nation-radio-rocks,London: Online,enquiries@nationradio.uk,Rock
Capital Manchester 102.0,https://www.radio-uk.co.uk/capital-manchester,Manchester: 102.0 FM,customer.support@global.com,Pop Music
Rinse FM 106.8,https://www.radio-uk.co.uk/rinse-fm-1068,London: 106.8 FM,,EDM - Electronic Dance Music
Comedy Gold - ROKiT Radio Network,https://www.radio-uk.co.uk/comedy-gold-rok-classic-radio,London: Online,,Comedy
Gold Radio,https://www.radio-uk.co.uk/gold-radio2,"Belfast: Online,Londonderry: Online",,Oldies
100 Chill,https://www.radio-uk.co.uk/100-chill,London: Online,,"Chillout, Lounge"
London Soul Radio,https://www.radio-uk.co.uk/london-soul-radio,London: Online,londonsoulradio@gmail.com,Soul
Smooth Radio East Midlands,https://www.radio-uk.co.uk/smooth-radio-east-midlands,Nottingham: 106.6 FM,picturedesk@global.com,Easy Listening
Sunrise Radio,https://www.radio-uk.co.uk/sunrise-radio,London: 963 AM/972 Am,info@sunriseradio.com,Bollywood
Rinse Kool FM,https://www.radio-uk.co.uk/rinse-kool-fm,City of London: Online,,
Total Dance,https://www.radio-uk.co.uk/essex-dance,Internet/Community,,"EDM - Electronic Dance Music, Dance"
80s Radio,https://www.radio-uk.co.uk/80s-radio,Lewes: 107.9 FM,Radio80s@yahoo.com,"Adult Contemporary, 80s, AAA - Adult Album Alternative"
Shine 879,https://www.radio-uk.co.uk/shine-879,City of London: Online,management@shinedab.com,"Ethnic, Indie, Dance"
LWR RADIO REGGAE,https://www.radio-uk.co.uk/lwr-radio-reggae,Internet/Community,,Reggae
Only Hits Radio,https://www.radio-uk.co.uk/only-hits-radio,Leicester: Online,studio@onlyhitsradio.com,"Pop Music, Variety, Oldies"
Atlantic 252,https://www.radio-uk.co.uk/atlantic-2522,Internet/Community,sales@atlantic252radio.com,"80s, 90s, 00s"
Love Soul Radio London,https://www.radio-uk.co.uk/love-soul-radio-london,London: Online,,"Reggae, Disco, Soul"
PUNK FM,https://www.radio-uk.co.uk/punk-fm,London: Online,info@punkfm.co.uk,70s
Boom Light,https://www.radio-uk.co.uk/boom-light,City of London: Online,boom@boomradiouk.com,Easy Listening
Flex FM,https://www.radio-uk.co.uk/flex-fm,London: 101.4 FM,office@flexfm.co.uk,"House, Electronic"
24-7 Disco,https://www.radio-uk.co.uk/24-7-disco,London:,nicheradio247@gmail.com,Disco
One Gold Radio,https://www.radio-uk.co.uk/one-gold-radio,London: Online,,"70s, 60s, 80s"
FUNKY RADIO (UK),https://www.radio-uk.co.uk/funky-radio-funkyradio,Internet/Community,uk@funky.radio,"Soul, Oldies, R&B"
Lyca Gold,https://www.radio-uk.co.uk/lyca-dilse-1035-am,London: 1035 AM,info@lycagold.com,Bollywood
Energy FM Old School Classics,https://www.radio-uk.co.uk/energy-fm-old-school-classics,London: Online,,"Dance, Disco, 80s"
Nation Radio Dance,https://www.radio-uk.co.uk/nation-radio-dance,London: Online,enquiries@nationradio.uk,Dance
BBC London,https://www.radio-uk.co.uk/bbc-london,London: 94.9 FM,london.sport@bbc.co.uk,"Local, News"
Sounds Country Radio,https://www.radio-uk.co.uk/sounds-country-radio,Liverpool: Online,studio@soundscountry.co.uk,"Classic Country, Country"
BOX : Mash Up! - Dancehall Radio,https://www.radio-uk.co.uk/box-mash-up,London: Online,hello@boxradio.net,"Caribbean, Reggae"
Star 00s,https://www.radio-uk.co.uk/smash-hits-radio2,Internet/Community,,"Pop Music, 00s"
Boom Rock,https://www.radio-uk.co.uk/boom-rock,City of London: Online,boom@boomradiouk.com,Rock
Lightning Radio.Net,https://www.radio-uk.co.uk/lightning-radio,London: 90.8 FM,info1@lightningradio.net,"EDM - Electronic Dance Music, Reggae"
Caroline Flashback,https://www.radio-uk.co.uk/caroline-flashback,City of London: Online,webmaster@radiocaroline.co.uk,
Smooth Radio West Midlands,https://www.radio-uk.co.uk/smooth-radio-west-midlands,Birmingham: 105.7 FM,Customer.Support@Global.com,Easy Listening
Select UK Radio,https://www.radio-uk.co.uk/select-uk-radio,London: Online,,"House, EDM - Electronic Dance Music"
Energy FM Dance Music Radio,https://www.radio-uk.co.uk/energy-fm,London: Online,,"House, EDM - Electronic Dance Music, Dance"
Love 80s - Liverpool,https://www.radio-uk.co.uk/love-80s-liverpool,Liverpool: DAB,,80s
House Party Radio,https://www.radio-uk.co.uk/house-party-radio,"Liverpool: Online,Manchester: Online,Newcastle upon Tyne: Online",studio@housepartyradio.net,"House, Dance, 90s"
24-7 Smooth Jazz,https://www.radio-uk.co.uk/24-7-smooth-jazz,Nottingham: Online,mark@24-7nicheradio.com,Smooth Jazz
Virgin Radio 80s Plus UK,https://www.radio-uk.co.uk/virgin-radio-80s-plus-uk,Internet/Community,,
PRL - Polskie Radio Londyn,https://www.radio-uk.co.uk/prl-polskie-radio-londyn,London: Online,redakcja@prl24.co.uk,
Radio Britannia - Pumpkin FM,https://www.radio-uk.co.uk/pumpkin-fm-adventure-westerns,City of London: Online,,Talk
Intamixx 80s 90s Radio UK,https://www.radio-uk.co.uk/intamixx-80s-90s-radio-uk,"City of London: Online,London: Online",intamixx@hotmail.com,"Dance, 90s, 80s"
Dirty Bass FM,https://www.radio-uk.co.uk/dirty-bass-fm,London: Online,dirtybassradio@gmail.com,Techno
Cruize Radio,https://www.radio-uk.co.uk/cruize-radio,London: Online,cruizeinfo@yahoo.com,"80s, 70s, 60s"
Tomorrowland One World Radio UK,https://www.radio-uk.co.uk/tomorrowland-one-world-radio-uk,"Birmingham: DAB,Bridgend: DAB,Cardiff: DAB,Chester: DAB,Crawley: DAB,Guildford: DAB,Leatherhead: DAB,Liverpool: DAB,London: DAB,Manchester: DAB,Portsmouth: DAB,Salisbury: DAB,Taunton: DAB,Woking: DAB,Wrexham: DAB",,"EDM - Electronic Dance Music, Dance"
Bass FM,https://www.radio-uk.co.uk/bass-fm,Newport: Online,info@bassfm.co.uk,"Soul, 90s, EDM - Electronic Dance Music"
Real House Radio,https://www.radio-uk.co.uk/real-house-radio,London: Online,,House
Heart West Midlands 100.7,https://www.radio-uk.co.uk/heart-west-midlands,Birmingham: 100.7 FM,Customer.Support@Global.com,Hot AC
BBC Radio Ulster,https://www.radio-uk.co.uk/bbc-radio-ulster,"Belfast: 94.5 FM,Lisburn: 1341 AM",feedback@bbc.co.uk,"Regional, Local, Classic Rock"
BLUES Radio UK,https://www.radio-uk.co.uk/blues-at,London: Online,manager@blues-radio.co.uk,Blues
Premier Gospel,https://www.radio-uk.co.uk/premier-gospel,London: Online,,Gospel
Underground Bass,https://www.radio-uk.co.uk/underground-bass,London: Online,admin@undergroundbass.uk,"Techno, EDM - Electronic Dance Music, Dance"
Fix Radio,https://www.radio-uk.co.uk/fix-radio-london,London: Online,,"Hot AC, Community, Adult Contemporary"
24-7 Soul,https://www.radio-uk.co.uk/24-7-soul,Internet/Community,nicheradio247@gmail.com,"Soul, 60s, 70s"
Capital Liverpool 107.6 FM,https://www.radio-uk.co.uk/capital-liverpool,Liverpool: 107.6 FM,customer.support@global.com,"Euro Hits, Pop Music"
U105,https://www.radio-uk.co.uk/u105,Belfast: 105.8 FM,studio@u105.com,"Oldies, Rock, Easy Listening"
Sunrise Smooth,https://www.radio-uk.co.uk/sunrise-smooth,City of London: DAB+,,"Chillout, Easy Listening"
Capital Glasgow,https://www.radio-uk.co.uk/capital-glasgow,Glasgow: 106.1 FM,customer.support@global.com,Pop Music
Classic Oldies,https://www.radio-uk.co.uk/classic-oldies2,Ramsgate: Online,,"60s, 70s, 80s"
StingDem Internet Radio,https://www.radio-uk.co.uk/stingdem-internet-radio,Birmingham: Online,admin@stingdemradio.com,"Reggae, Dance"
PlayBack,https://www.radio-uk.co.uk/playback,London: Online,playbackukenquires@hotmail.com,"House, Dance"
Smooth Jazz,https://www.radio-uk.co.uk/smooth-jazz,Durham: Online,,"Jazz, Smooth Jazz, Lounge"
Gaydio,https://www.radio-uk.co.uk/gaydio,"Birmingham: DAB,Brighton: 97.8 FM,Cardiff: DAB,Edinburgh: DAB,Glasgow: DAB,Leeds: DAB,Liverpool: DAB,London: DAB,Manchester: 88.4 FM,Sheffield: DAB",,"Pop Music, EDM - Electronic Dance Music"
Total Hits,https://www.radio-uk.co.uk/total-hits,London: Online,studio@totalhitsradio.com,"Pop Music, Top 40, Adult Contemporary"
UK Bass Radio,https://www.radio-uk.co.uk/uk-bass-radio,City of London: Online,info@ukbassradio.com,"EDM - Electronic Dance Music, Dance, Electronic"
BBC Radio Scotland,https://www.radio-uk.co.uk/bbc-radio-scotland,"Glasgow: 93.5 FM,Glasgow: 94.3 FM",feedback@bbc.co.uk,"Variety, News"
Only Old Skool Radio,https://www.radio-uk.co.uk/onlyoldskoolradio,City of London: Online,onlyoldskoolradio@gmail.com,"Electronic, Dance, Techno"
Forever Hits,https://www.radio-uk.co.uk/forever-hits3,Internet/Community,studio@foreverhits.uk,Classic Hits
Nation Radio Love,https://www.radio-uk.co.uk/nation-radio-love,London: Online,enquiries@nationradio.uk,Romantic
Fresh Hits,https://www.radio-uk.co.uk/fresh-hits,London: Online,studio@freshradio.uk,Top 40
Feedback 80s,https://www.radio-uk.co.uk/rammy-jam-80s,Aberdeen: Online,,"Pop Music, Indie, 80s"
80s Rhythm,https://www.radio-uk.co.uk/80s-rhythm,London: DAB,,
NOW Radio 80s,https://www.radio-uk.co.uk/now-radio-country,"Aberdeen: Online,Dundee: Online,Edinburgh: Online,Glasgow: Online,Inverness: Online,Perth: Online",studio@mynowradio.co.uk,80s
